model,scope,n,rate,ci_low,ci_high,precision,recall
tfidf,overall,8274,0.893049499871762,,,0.9511062551215514,0.8416727096930142
tfidf,recall:claude-opus-4-6,599,0.8514190317195326,0.8206992783749293,0.8776601224923889,,
tfidf,recall:gpt-4.1,600,0.9066666666666666,0.8807336048064752,0.9274255450357148,,
tfidf,recall:gpt2-large,578,0.5692041522491349,0.528508586576307,0.6089859126334055,,
tfidf,recall:gptneo-1.3b,593,0.6610455311973018,0.6220192198497578,0.6979987634475135,,
tfidf,recall:llama2-7b,592,0.9527027027027027,0.9324916756380955,0.9670764763680874,,
tfidf,recall:mistral-7b,600,0.96,0.9411722643439472,0.9729749707234482,,
tfidf,recall:qwen2.5-7b,575,0.9860869565217392,0.9727885648145571,0.9929335538790172,,
tfidf,false_positive_rate:anchor,4137,0.04326806864877931,0.03748029366901717,0.049903264097946,,
frozen,overall,8274,0.9213920661961548,,,0.9277137956383239,0.9151559100797679
frozen,recall:claude-opus-4-6,599,0.8647746243739566,0.835053636664825,0.889846739057308,,
frozen,recall:gpt-4.1,600,0.8933333333333333,0.866083119474195,0.9155790090616936,,
frozen,recall:gpt2-large,578,0.8062283737024222,0.7720271185965154,0.8363860404064632,,
frozen,recall:gptneo-1.3b,593,0.8802698145025295,0.851662292876065,0.9039822645431465,,
frozen,recall:llama2-7b,592,0.9712837837837838,0.9544957320389155,0.9819949933705062,,
frozen,recall:mistral-7b,600,0.995,0.9854037936547143,0.9982981223417221,,
frozen,recall:qwen2.5-7b,575,0.9947826086956522,0.9847739435024554,0.9982240628242776,,
frozen,false_positive_rate:anchor,4137,0.07130771090161953,0.06385727708095375,0.07955354043675421,,
