detector,period,scope,n_treatment,n_control,delta,ci_low,ci_high,p_value,material,is_primary,family,view,outlet
fastdetectgpt,post,all,11216,11216,0.010105545165760788,-0.004712191837725146,0.025434129439348006,0.18994786109087713,False,True,category,all,(category)
fastdetectgpt,post,band_0-150,1630,720,-0.12056918882072254,-0.17086537150647577,-0.07007783742331287,3.073942848532285e-06,False,False,category,all,(category)
fastdetectgpt,post,band_150-300,2285,1880,-0.20648447320638763,-0.24011435588248992,-0.17207265235811722,1.5795037669550375e-30,True,False,category,all,(category)
fastdetectgpt,post,band_300-600,3345,4559,0.05109123988392028,0.025854150744384147,0.0772437869081379,0.00010158845685564417,False,False,category,all,(category)
fastdetectgpt,post,band_600-inf,3956,4057,0.06774158334731095,0.04224866431909493,0.09264923462998072,1.51479104285985e-07,False,False,category,all,(category)
fastdetectgpt,post,year_2022,242,140,-0.0668240850059032,-0.18778187721369544,0.05348435655253835,0.2765451208533716,False,False,category,all,(category)
fastdetectgpt,post,year_2023,2944,2779,0.0100721443434455,-0.020183310240233437,0.04008384408686256,0.509549535041445,False,False,category,all,(category)
fastdetectgpt,post,year_2024,2863,2744,-0.08834033089309767,-0.11901377685947892,-0.058955003212801574,1.0229713355335689e-08,False,False,category,all,(category)
fastdetectgpt,post,year_2025,3694,3895,0.03927327595733421,0.013650368393946866,0.06565765669339935,0.0030596461750513632,False,False,category,all,(category)
fastdetectgpt,post,year_2026,1473,1658,0.11213585594173203,0.07278104800768469,0.1519797038285439,5.8416018177442667e-08,False,False,category,all,(category)
fastdetectgpt,post,band_pooled,11216,11216,-0.008769033399999725,,,,False,False,category,all,(category)
fastdetectgpt,pre,all,11216,11216,-0.08986075336130772,-0.1046730694006779,-0.07454738149189766,2.155171243326051e-31,False,False,category,all,(category)
fastdetectgpt,pre,band_0-150,3361,983,-0.10988318825568733,-0.15122853157046762,-0.06970077149082758,1.5362845841980393e-07,False,False,category,all,(category)
fastdetectgpt,pre,band_150-300,2810,2494,-0.445723972409227,-0.47304443119001616,-0.41826557403248227,3.0299577423708053e-173,True,False,category,all,(category)
fastdetectgpt,pre,band_300-600,2367,4595,-0.09159025097079765,-0.11940548151887145,-0.0633304831163721,3.615308419894827e-10,False,False,category,all,(category)
fastdetectgpt,pre,band_600-inf,2678,3144,0.06027603106644097,0.030322827648524314,0.09008443599435226,7.19082858034397e-05,False,False,category,all,(category)
fastdetectgpt,pre,band_pooled,11216,11216,-0.1394515332485342,,,,False,False,category,all,(category)
fastdetectgpt,pre,year_2019,1830,2855,-0.5352756643985721,-0.5633045371460288,-0.5068337496291618,2.0157996010547748e-210,True,False,pre_year,all,(category)
fastdetectgpt,pre,year_2020,2641,2839,-0.006682361050222907,-0.03750471971841339,0.02381324839462882,0.6685972158132363,False,False,pre_year,all,(category)
fastdetectgpt,pre,year_2021,2942,2890,0.03327821151254118,0.0035944406154511345,0.06246051105690407,0.027763553359684313,False,False,pre_year,all,(category)
fastdetectgpt,pre,year_2022,3803,2632,0.0062844323030850635,-0.02248972875357556,0.03428804007714267,0.6677358628667747,False,False,pre_year,all,(category)
fastdetectgpt,post,post_all,5608,5608,-0.12530718929143403,-0.14682827295070622,-0.10414599818936059,1.4425572970114543e-30,False,False,outlet,own_pre,rte
fastdetectgpt,post,year_2022,69,5608,0.04168992536541993,-0.0933344445822738,0.17982462941139976,0.551129920373152,False,False,outlet,own_pre,rte
fastdetectgpt,post,year_2023,1381,5608,-0.06738537374455233,-0.10074321002064907,-0.032819567784100695,0.00010234244579019537,False,False,outlet,own_pre,rte
fastdetectgpt,post,year_2024,1380,5608,-0.1336742024850628,-0.16763803391635135,-0.10027029838326203,1.3136797982995089e-14,False,False,outlet,own_pre,rte
fastdetectgpt,post,year_2025,1960,5608,-0.1456500735101458,-0.1759527342499054,-0.11602191612201228,7.008897293724753e-22,False,False,outlet,own_pre,rte
fastdetectgpt,post,year_2026,818,5608,-0.17432222218346827,-0.21756834673833048,-0.1294281614808046,7.229585095310008e-16,True,False,outlet,own_pre,rte
fastdetectgpt,post,band_0-150,576,649,-0.04243173258003763,-0.10658638824687557,0.022070412814586514,0.19940337127857766,False,False,outlet,own_pre,rte
fastdetectgpt,post,band_0-150_year_2022,9,649,0.22924156822461916,-0.10701078582434516,0.5432288991611025,0.2375157283961694,True,False,outlet,own_pre,rte
fastdetectgpt,post,band_0-150_year_2023,114,649,-0.0075149352580218265,-0.12432284486254153,0.112726056280918,0.8982603590219562,False,False,outlet,own_pre,rte
