article_id,outlet,period_fine,period,is_wire,drop_reason
4,rte,post,post,0.0,
8,rte,post,post,1.0,
12,rte,post,post,0.0,
16,rte,post,post,1.0,
20,rte,post,post,0.0,
24,rte,post,post,0.0,
28,rte,post,post,0.0,
32,rte,post,post,0.0,
36,rte,post,post,0.0,
40,rte,post,post,0.0,
44,rte,post,post,0.0,
48,rte,post,post,0.0,
52,rte,post,post,0.0,
56,rte,post,post,0.0,
60,rte,post,post,1.0,
64,rte,post,post,1.0,
68,rte,post,post,1.0,
72,rte,post,post,0.0,
76,rte,post,post,0.0,
80,rte,post,post,1.0,
84,rte,post,post,1.0,
88,rte,post,post,0.0,
92,rte,post,post,1.0,
96,rte,post,post,1.0,
100,rte,post,post,0.0,
104,rte,post,post,1.0,
108,rte,post,post,1.0,
112,rte,post,post,0.0,
116,rte,post,post,0.0,
120,rte,post,post,0.0,
124,rte,post,post,0.0,
128,rte,post,post,0.0,
132,rte,post,post,0.0,
136,rte,post,post,0.0,
140,rte,post,post,1.0,
144,rte,post,post,1.0,
148,rte,post,post,1.0,
152,rte,post,post,0.0,
156,rte,post,post,0.0,
160,rte,post,post,0.0,
164,rte,post,post,1.0,
168,rte,post,post,0.0,
172,rte,post,post,0.0,
176,rte,post,post,1.0,
180,rte,post,post,0.0,
184,rte,post,post,0.0,
188,rte,post,post,1.0,
192,rte,post,post,0.0,
196,rte,post,post,0.0,thin_lt400
200,rte,post,post,0.0,
204,rte,post,post,0.0,
208,rte,post,post,1.0,
212,rte,post,post,0.0,
216,rte,post,post,1.0,
220,rte,post,post,1.0,
224,rte,post,post,1.0,
228,rte,post,post,1.0,
232,rte,post,post,0.0,
236,rte,post,post,1.0,
240,rte,post,post,0.0,
244,rte,post,post,0.0,
248,rte,post,post,0.0,
252,rte,post,post,1.0,
256,rte,post,post,1.0,
260,rte,post,post,0.0,
264,rte,post,post,0.0,
268,rte,post,post,0.0,
272,rte,post,post,0.0,
276,rte,post,post,0.0,
280,rte,post,post,0.0,
284,rte,post,post,0.0,
288,rte,post,post,0.0,
292,rte,post,post,0.0,
296,rte,post,post,1.0,
300,rte,post,post,0.0,
304,rte,post,post,0.0,
308,rte,post,post,0.0,
312,rte,post,post,1.0,
316,rte,post,post,1.0,
320,rte,post,post,0.0,
324,rte,post,post,1.0,
328,rte,post,post,1.0,
332,rte,post,post,0.0,
336,rte,post,post,1.0,
340,rte,post,post,0.0,
344,rte,post,post,1.0,
348,rte,post,post,1.0,
352,rte,post,post,0.0,
356,rte,post,post,0.0,
360,rte,post,post,1.0,
364,rte,post,post,1.0,
368,rte,post,post,0.0,
372,rte,post,post,1.0,
376,rte,post,post,0.0,
380,rte,post,post,0.0,
384,rte,post,post,0.0,
388,rte,post,post,0.0,
392,rte,post,post,0.0,
396,rte,post,post,0.0,
400,rte,post,post,0.0,
404,rte,post,post,1.0,
408,rte,post,post,1.0,
412,rte,post,post,0.0,
416,rte,post,post,0.0,
420,rte,post,post,1.0,
424,rte,post,post,1.0,
428,rte,post,post,1.0,
432,rte,post,post,1.0,
436,rte,post,post,0.0,
440,rte,post,post,1.0,
444,rte,post,post,0.0,
448,rte,post,post,0.0,
452,rte,post,post,0.0,thin_lt400
456,rte,post,post,0.0,
460,rte,post,post,1.0,
464,rte,post,post,0.0,
468,rte,post,post,0.0,
472,rte,post,post,0.0,
476,rte,post,post,1.0,
480,rte,post,post,1.0,
484,rte,post,post,0.0,
488,rte,post,post,0.0,
492,rte,post,post,0.0,
496,rte,post,post,1.0,
500,rte,post,post,1.0,
504,rte,post,post,0.0,
508,rte,post,post,1.0,
512,rte,post,post,0.0,thin_lt400
516,rte,post,post,0.0,
520,rte,post,post,0.0,
524,rte,post,post,0.0,
528,rte,post,post,0.0,
532,rte,post,post,0.0,
536,rte,post,post,0.0,
540,rte,post,post,1.0,
544,rte,post,post,0.0,
548,rte,post,post,0.0,thin_lt400
552,rte,post,post,1.0,
556,rte,post,post,0.0,
560,rte,post,post,1.0,
564,rte,post,post,0.0,
568,rte,post,post,1.0,
572,rte,post,post,0.0,thin_lt400
576,rte,post,post,1.0,
580,rte,post,post,0.0,
584,rte,post,post,0.0,
588,rte,post,post,0.0,
592,rte,post,post,0.0,
596,rte,post,post,1.0,
600,rte,post,post,1.0,
604,rte,post,post,1.0,
608,rte,post,post,0.0,
612,rte,post,post,1.0,
616,rte,post,post,0.0,
620,rte,post,post,1.0,
624,rte,post,post,0.0,
628,rte,post,post,0.0,
632,rte,post,post,0.0,
636,rte,post,post,0.0,
640,rte,post,post,0.0,
644,rte,post,post,1.0,
648,rte,post,post,0.0,
652,rte,post,post,0.0,
656,rte,post,post,0.0,
660,rte,post,post,1.0,
664,rte,post,post,0.0,
668,rte,post,post,1.0,
672,rte,post,post,0.0,
676,rte,post,post,0.0,
680,rte,post,post,0.0,
684,rte,post,post,0.0,
688,rte,post,post,0.0,
692,rte,post,post,1.0,
696,rte,post,post,0.0,
700,rte,post,post,1.0,
704,rte,post,post,1.0,
708,rte,post,post,0.0,
712,rte,post,post,0.0,
716,rte,post,post,1.0,
720,rte,post,post,1.0,
724,rte,post,post,0.0,
728,rte,post,post,0.0,
732,rte,post,post,0.0,
736,rte,post,post,1.0,
740,rte,post,post,0.0,
744,rte,post,post,0.0,
748,rte,post,post,1.0,
752,rte,post,post,0.0,
756,rte,post,post,0.0,
760,rte,post,post,1.0,
764,rte,post,post,0.0,
768,rte,post,post,1.0,
772,rte,post,post,1.0,
776,rte,post,post,0.0,
780,rte,post,post,0.0,
784,rte,post,post,1.0,
788,rte,post,post,0.0,
792,rte,post,post,1.0,
796,rte,post,post,0.0,
800,rte,post,post,1.0,
804,rte,post,post,1.0,
808,rte,post,post,0.0,
812,rte,post,post,1.0,
816,rte,post,post,0.0,
820,rte,post,post,1.0,
824,rte,post,post,1.0,
828,rte,post,post,1.0,
832,rte,post,post,0.0,
836,rte,post,post,0.0,
840,rte,post,post,0.0,
844,rte,post,post,0.0,
848,rte,post,post,1.0,
852,rte,post,post,1.0,
856,rte,post,post,0.0,
860,rte,post,post,0.0,
864,rte,post,post,0.0,
868,rte,post,post,0.0,
872,rte,post,post,0.0,
876,rte,post,post,0.0,
880,rte,post,post,0.0,
884,rte,post,post,0.0,
888,rte,post,post,0.0,
892,rte,post,post,0.0,
896,rte,post,post,0.0,
900,rte,post,post,0.0,
904,rte,post,post,0.0,
908,rte,post,post,0.0,
912,rte,post,post,0.0,
916,rte,post,post,1.0,
920,rte,post,post,0.0,
924,rte,post,post,0.0,
928,rte,post,post,0.0,
932,rte,post,post,1.0,
936,rte,post,post,0.0,
940,rte,post,post,1.0,
944,rte,post,post,0.0,
948,rte,post,post,0.0,
952,rte,post,post,1.0,
956,rte,post,post,1.0,
960,rte,post,post,0.0,
964,rte,post,post,0.0,
968,rte,post,post,0.0,
972,rte,post,post,0.0,
976,rte,post,post,0.0,
980,rte,post,post,0.0,
984,rte,post,post,0.0,
988,rte,post,post,0.0,
992,rte,post,post,0.0,thin_lt400
996,rte,post,post,0.0,
1000,rte,post,post,0.0,
1004,rte,post,post,0.0,
1008,rte,post,post,1.0,
1012,rte,post,post,0.0,
1016,rte,post,post,0.0,
1020,rte,post,post,0.0,
1024,rte,post,post,1.0,
1028,rte,post,post,0.0,
1032,rte,post,post,1.0,
1036,rte,post,post,0.0,
1040,rte,post,post,0.0,
1044,rte,post,post,1.0,
1048,rte,post,post,0.0,
1052,rte,post,post,0.0,
1056,rte,post,post,1.0,
1060,rte,post,post,1.0,
1064,rte,post,post,1.0,
1068,rte,post,post,0.0,
1072,rte,post,post,0.0,
1076,rte,post,post,0.0,
1080,rte,post,post,0.0,
1084,rte,post,post,0.0,
1088,rte,post,post,0.0,
1092,rte,post,post,1.0,
1096,rte,post,post,0.0,
1100,rte,post,post,0.0,
1104,rte,post,post,0.0,
1108,rte,post,post,0.0,
1112,rte,post,post,0.0,
1116,rte,post,post,0.0,
1120,rte,post,post,0.0,
1124,rte,post,post,1.0,
1128,rte,post,post,1.0,
1132,rte,post,post,0.0,
1136,rte,post,post,1.0,
1140,rte,post,post,0.0,
1144,rte,post,post,1.0,
1148,rte,post,post,1.0,
1152,rte,post,post,1.0,
1156,rte,post,post,0.0,
1160,rte,post,post,1.0,
1164,rte,post,post,1.0,
1168,rte,post,post,1.0,
1172,rte,post,post,0.0,
1176,rte,post,post,0.0,
1180,rte,post,post,0.0,
1184,rte,post,post,1.0,
1188,rte,post,post,1.0,
1192,rte,post,post,0.0,
1196,rte,post,post,1.0,
1200,rte,post,post,0.0,
1204,rte,post,post,1.0,
1208,rte,post,post,0.0,
1212,rte,post,post,0.0,
1216,rte,post,post,0.0,
1220,rte,post,post,0.0,
1224,rte,post,post,1.0,
1228,rte,post,post,1.0,
1232,rte,post,post,1.0,
1236,rte,post,post,0.0,
1240,rte,post,post,0.0,
1244,rte,post,post,1.0,
1248,rte,post,post,0.0,
1252,rte,post,post,0.0,
1256,rte,post,post,1.0,
1260,rte,post,post,1.0,
1264,rte,post,post,0.0,
1268,rte,post,post,0.0,
