id,group,outlet,model,era,kind,period,section,is_wire,word_count,text,headline,prompt_version,quantized
irish_ai:gpt2-large:p0074,irish_ai,gript,gpt2-large,2019,base,post,Featured|World News,0,239,"The video shows the bishop, who is shown in the middle of the service, being attacked by four people, including a man with a knife.

This clip has been seen by a number of news outlets worldwide.

The person filming it has posted a comment to Facebook (facebook.com/GriptIrishNews) saying: ""I was in a church when a man came up to the Bishop and started shouting at him. The Bishop responded by asking him to stop shouting and said that the man was a terrorist.

""Then an individual came up behind him and started attacking him. He had a knife and was stabbing him. The Bishop then asked him to stop, as did the other members of the congregation. The man then ran away, but the Bishop continued to hold him. He was stabbed in the stomach and died in the church.""

The following is a statement from the Bishop of Dublin and Athy, Dr. Cormac Ó Breinn, who stated: ""It is deeply shocking that anyone would take the life of a priest or anyone else at any church in Ireland. It is an act of absolute depravity and we are all appalled. We condemn this behaviour and call on all people who engage in violent behavior to stop, as it is contrary to the very ideals of the Christian faith.

""We are deeply saddened by this and our prayers are with the bishop and his family at this time.""",BREAKING: Video captures Bishop attacked as 4 stabbed during church service,irish-register-v3,0
irish_ai:gpt2-large:p0104,irish_ai,gript,gpt2-large,2019,base,pre,Comment|Comment World|Featured,0,416,"Taiwan has been ranked 17th in the international telecom fraud index by the International Telecommunication Union's PTTK (Public-Private Telecom Partnership) (2010) survey. It is also one of the top five countries that have reported the most fraud cases in the past 12 months. In the first two quarters of 2014, the Taiwan Telecommunications Authority reported a total of 13,800 fraud cases, with the most fraudulent transactions occurring in the first quarter. The most egregious crimes included fraud by illegal interception and rerouting of mobile phone traffic, and computer fraud, all of which resulted in a total of $2.5 million and $4.5 million in losses. The highest losses occurred during the last quarter of 2013, when 4,700 fraud cases were reported, and in 2012, when 2,000 cases were reported.

The report also describes a recent case in which the fraud team behind a mobile phone fraud case in Hong Kong was able to obtain a search warrant on the suspect's computer computer. The suspect was suspected to have been involved in the crime, but the warrant was eventually not obtained due to technical reasons.

""A major obstacle is that Taiwan's telecommunications system is so slow that it is difficult for the authorities to obtain details of the crimes and find suspects,"" said Professor Michael Wang of the College of International Studies at Taiwan's Taipei Military University. ""This is why international cooperation is needed to prevent this type of fraud.""

The international telecom fraud index is a survey conducted annually by the PTTK, based on data from law enforcement agencies in 54 nations. The index uses five key indicators to measure fraud: electronic data theft, fraud perpetrated by the use of fraudulent identification; computer fraud, involving fraudulent use of computer programs; telecommunications fraud, involving the use of fraudulent telecommunication service or telecommunications system equipment; and software fraud, involving fraudulent software used in computer programs.

The PTTK survey is based on data reported by the law enforcement agencies of 54 countries, with the most recent data from December 2014. The PTTK provides a comprehensive index of fraud that is based on information reported by law enforcement agencies of all countries at all times. The index is developed from the information provided by law enforcement agencies of participating nations.

The PTTK is the global body representing law enforcement agencies in the international telecommunications space. The body was established in 1991 by the World Conference of the Parties (WCP) to the Telecommunications Convention of the United Nations (UNTSC) in Paris, France.",Taiwan’s participation can strengthen international cooperation to fight transnational telecommunication fraud in the postpandemic era,irish-register-v3,0
irish_ai:gpt2-large:p0142,irish_ai,gript,gpt2-large,2019,base,pre,Comment World,0,489,"'The enduring relevance of Confucius'

This is what Gript (the Irish language newspaper) published yesterday.

It starts with this:

'We're celebrating the centenary of Confucius, a Chinese revolutionary, and its contribution to China's social, political and economic development.

This is a great thing, says historian and Confucian expert David Cordingley.

'The Confucian tradition has been passed on to successive generations of Chinese.

Confucianism is a Chinese way of life, he says, which means that it has become a crucial factor in modern Chinese society.

'Confucius was the 'Great General' of the Chinese revolution in the Song Dynasty. He was the person who gave the idea of democracy to China, and he was the person who introduced Confucianism as the state religion of the Chinese.

'He is considered by many to be the most important political philosopher of the ancient world.'

Cordingley notes that it's a popular myth that Confucius was a man who died in obscurity in the 5th century CE. He was born in the 8th century, and lived until around the 10th century. He founded the city of Shunyang in 797, and lived for almost 200 years.

According to the Chinese, Confucius was 'sent to death' in the 13th century.

'Many people say that Confucius lived to the age of 200,' says Cordingley. 'In fact, he wasn't the only person to die after that time.

'The emperor was a member of the elite society of the emperor of the Han Dynasty, and there was also the 'crown prince', the imperial guardian, and the 'king' - the most powerful member of the family.

'The state religion of the Han Dynasty was Confucianism. There were many people who said that Confucius was the only one of them to have lived to the time of the Qin [early 7th century].

'The idea that Confucius lived to the time of the Qin is a common myth. It was created by scholars like John Haught who were writing about Confucius in the 16th century, but then became popular in the 19th century.

'Confucius was born about 500 years after the death of the emperor.

'The idea that Confucius died in obscurity is a modern myth, says Cordingley. He was born in the 7th century and lived until around the 10th century.

'In the 9th century, the emperor's sons had a war with each other.

'Confucius was an ambassador to the Han court. He was there to visit the emperor and his family. Confucius was called a 'political sage' in Chinese.

'He wrote the book The Book of Changes, which included many of the lessons that Confucius had learnt from his time in China.

'The book was one of the major works of the Han dynasty. It was also widely read by the masses, and it went through many revisions.

'It was a manual for political practice. The Han dynasty was the first to use the concept of Confuciusism as the state religion.",The lasting relevance of Confucius,irish-register-v3,0
irish_ai:gpt2-large:p0006,irish_ai,gript,gpt2-large,2019,base,post,Featured|News|World News,0,271,"""The fear of ageing has been exaggerated in the media and the public alike"" – An analysis of the effects of a perceived impending death-rate.

The main finding is that the death rate is not particularly high compared to other countries and not the subject of much controversy. This is probably due to the relative stability of the population size and age structure of the country in comparison to other countries.

The study was carried out by a team of scientists at the University of Limerick and the College of Science and Technology (CST) in Ireland, led by Professor John Collins, Director of the ARC Centre of Excellence for Life at the University of Limerick. The team analyzed the mortality rate of an entire age cohort, and was able to estimate the total number of deaths by year and by country.

They found that mortality in general is low across the entire age-group, but that there are certain areas, such as the young in their 20s and 30s, which are affected more than others. The researchers also found that the proportion of those who are born before the age of 35 is high in Ireland, but declining rapidly through the entire age-group.

According to the study, this suggests that there is little to worry about, although it is worth bearing in mind that the young are more likely to live to be 70-80 than any other age group, and this will not be possible in the next decade or so, while the old are reaching their 90s and beyond.

The study is published in the Journal of Epidemiology & Community Health.",Study: Economic fears of ageing societies overblown,irish-register-v3,0
irish_ai:gpt2-large:p0094,irish_ai,gript,gpt2-large,2019,base,pre,Culture,0,309,"""You won't hear a lot about it,"" said former Irish footballer Robbie Keane when he appeared on TV in Dublin with the Gript logo. ""If you have a strong feeling that something is wrong, it may take a while to come to the surface.""

There's more: ""They're a group of creative people, there's no other way to put it,"" he added. ""They don't have to be the new face of Irish football, they're the face of Irish football.""

Gript is a group of Dublin based, creative people who work with the likes of The Irish Times and a variety of other publications, but they have taken an unexpected turn in the past few years when they came up with the Gript logo.

In an attempt to capture the essence of the Irish game, the group developed an icon for the club and it's now a big player in the media, which they use for all their projects.

The symbol is based on the club's colors red, white and blue as well as a stylized skull and crossbones.

According to a press release, the logo was developed in collaboration with Irish freelance illustrator Jim Moran, who worked on the Gript logo for the last two years.

The team said it has already been contacted by companies around the world that are interested in using it.

A few months back, the club began using it on its team store.

""The club is using it as a tool for the media, but it's also used for ourselves because people are talking about it,"" said O'Dwyer. ""We're very happy for it to be the official logo of the club, it really resonates with the fanbase.""

There's no word yet if the Gript logo will be adopted by a football club. I'm sure they're very busy with a lot of other things right now.","For the creative, the worst of times can be the best of times",irish-register-v3,0
irish_ai:gpt2-large:p0002,irish_ai,gript,gpt2-large,2019,base,post,Irish News,0,292,"""Meath Police have been forced to intervene after three children were attacked by a group of youths at a school gates in Kildare Road, Meath.

In the early hours of Saturday morning a group of teenagers, believed to be of 12-15 years of age, attacked the three young children. One of the children sustained injuries to her face and had to have an operation on her lip.

The parents of the victim made the decision to send their children to the school in Kildare Road, Meath. The parents have informed police and the school authorities about the incident.

The parents of the child are not pleased at the situation and believe the child should have been sent to a private school in their area.

Gript Police spokesperson, Constable Shane McEachern, said the incident will be dealt with accordingly and will also include any relevant charges.

He added that the child was ""frightened"" by the situation and suffered facial injuries on her face and upper lip"".

At the meeting yesterday, one of the parents claimed that the incident was the result of the parents being ""sad"" at the fact that their children were being picked on.

One of the parents made a complaint to Gript police regarding the incident and was referred to the Child and Family Service for further assessment.

On Sunday afternoon the child was treated by a specialist at a private hospital and released.

In a statement to Gript police, Superintendent Pat McVicker said:

""Our investigators are currently assessing the circumstances surrounding the incident.

The child was taken to hospital and subsequently discharged. We are liaising with the Child and Family Service.

We will not speculate on any of the events which took place on Saturday.

Our investigation is ongoing.""",Public meeting in Meath to hear there has been ‘spiral’ of crime and anti-social behaviour,irish-register-v3,0
irish_ai:gpt2-large:p0113,irish_ai,gript,gpt2-large,2019,base,pre,World News,0,260,"In order to ease the burden of the current EU-Turkey migrant crisis, the European Commission has proposed a ""vaccine passport"" for nationals of Schengen countries. The so-called ""vectoral passport"" is a travel document which allows citizens of the Schengen Area and of the European Union to travel to Schengen-related countries for a one-time stay.

The proposal is aimed at simplifying the application of EU laws and rules to citizens of Schengen countries, who are not eligible to travel without a valid passport. The passport is based on the Schengen Visa System (SV), which provides a visa-free regime for visitors to member states. Under the current regime, non-EU nationals are obliged to have a visa in the Schengen countries. These non-EU nationals must then apply for a visa if they intend to travel to the Schengen States.

The proposal for a vaccine passport is aimed at reducing the numbers of migrants arriving in European countries, which are the main drivers of illegal migration. The EU Commission aims to increase the share of Schengen countries in EU immigration quotas to around 70% of the total, or almost 500,000 a year, by 2020.

The proposal is part of the EU's ""Schengen Dialogue"" to improve the situation in the Schengen area and is part of a package of initiatives aimed at improving EU citizenship.

The proposal includes the ""Schengen Visa System"" and a pilot project with the use of the visa-free Schengen Area for refugees.

The Commission will submit its final proposals for the new Schengen passport to the European Parliament on 24 June.",EU to propose vaccine passports for summer travel,irish-register-v3,0
irish_ai:gpt2-large:p0120,irish_ai,gript,gpt2-large,2019,base,pre,Irish News,0,108,"The family of a 17-year-old girl died after being admitted to hospital following positive covid 19 swab on admission on 8th July.

The girl was admitted to the Princess Alexandra Hospital after the initial test was positive, which was found to be from the herpes simplex virus. She was then tested by the Covidien diagnostic laboratory for 21 swabs, and all 21 tests were negative. The 17-year-old then presented to the emergency department with fever, nausea and vomiting. The girl died on the 15th July.

A report by The Sunday Times (Ireland) has stated that the girl's mother had recently visited the hospital for a routine routine check-up.",17 year old girl died in hospital following a positive covid 19 swab after initially testing negative on admission.,irish-register-v3,0
irish_ai:gpt2-large:p0138,irish_ai,gript,gpt2-large,2019,base,pre,Irish News,0,136,"Elder & Sister-in-Law in Dublin for a family wedding. The young lady is attacked by an assailant. In the midst of the attack she receives a terrible blow to the eye. This was a tragic blow for the young lady but unfortunately is not the end of the tale.

From The Irish Times (Irish Times, 11/03/2001).

A man has been arrested after attacking and stabbing a woman in Dublin's West End.

The 23-year-old woman was in Dublin's West End with her family when the incident occurred. She was assaulted at about 1pm, police said.

The man was arrested on suspicion of assault occasioning actual bodily harm.

The victim was taken to Royal Victoria Hospital where she was in a stable condition with minor injuries.

The man was not injured and his name has not been released.",Alanna Idris Quinn (17) loses sight in eye after vicious attack,irish-register-v3,0
irish_ai:gpt2-large:p0005,irish_ai,gript,gpt2-large,2019,base,post,Featured|Irish News,0,100,"In an interview with The Irish Times, Immigration Minister James Reilly revealed that he plans to introduce a new system where an asylum seeker convicted of a serious crime such as aggravated burglary or rape would not automatically be deported if he or she is found not to be an asylum seeker.

Speaking on the issue, Mr Reilly said he would seek to ensure that those who break the law would be dealt with seriously.

The Irish Times has a full report of Mr Reilly's remarks here.

See also this, this, this and this.

Follow us on Facebook and Twitter.",O’Callaghan won’t automatically deport all jailed migrants,irish-register-v3,0
