model,scope,outlet,band,n,false_positive_rate,threshold,fpr_at_global_boundary
tfidf,overall,(all),(all),22432,0.049393723252496434,,
tfidf,outlet,gript,(all),5608,0.062232524964336663,,
tfidf,outlet,irish_examiner,(all),5608,0.06062767475035663,,
tfidf,outlet,rte,(all),5608,0.05813124108416548,,
tfidf,outlet,the_liberal,(all),5608,0.01658345221112696,,
tfidf,band,(all),0-150,4344,0.01979742173112339,,
tfidf,band,(all),150-300,5304,0.04562594268476621,,
tfidf,band,(all),300-600,6962,0.07296753806377478,,
tfidf,band,(all),600-inf,5822,0.04671934043284095,,
tfidf,outlet_band,gript,0-150,134,0.014925373134328358,,
tfidf,outlet_band,gript,150-300,813,0.06273062730627306,,
tfidf,outlet_band,gript,300-600,2030,0.07586206896551724,,
tfidf,outlet_band,gript,600-inf,2631,0.05397187381223869,,
tfidf,outlet_band,irish_examiner,0-150,334,0.041916167664670656,,
tfidf,outlet_band,irish_examiner,150-300,972,0.05761316872427984,,
tfidf,outlet_band,irish_examiner,300-600,2507,0.07897885919425608,,
tfidf,outlet_band,irish_examiner,600-inf,1795,0.04011142061281337,,
tfidf,outlet_band,rte,0-150,649,0.04160246533127889,,
tfidf,outlet_band,rte,150-300,1522,0.06636005256241786,,
tfidf,outlet_band,rte,300-600,2088,0.06944444444444445,,
tfidf,outlet_band,rte,600-inf,1349,0.039288361749444035,,
tfidf,outlet_band,the_liberal,0-150,3227,0.013325069724202046,,
tfidf,outlet_band,the_liberal,150-300,1997,0.01702553830746119,,
tfidf,outlet_band,the_liberal,300-600,337,0.032640949554896145,,
tfidf,outlet_band,the_liberal,600-inf,47,0.10638297872340426,,
tfidf,outlet_threshold,gript,(all),5608,0.050106990014265336,0.5207167016107206,0.062232524964336663
tfidf,outlet_threshold,irish_examiner,(all),5608,0.050106990014265336,0.5206161889647052,0.06062767475035663
tfidf,outlet_threshold,rte,(all),5608,0.050106990014265336,0.5134939205885777,0.05813124108416548
tfidf,outlet_threshold,the_liberal,(all),5608,0.050106990014265336,0.4028035641947149,0.01658345221112696
frozen,overall,(all),(all),22432,0.07306526390870186,,
frozen,outlet,gript,(all),5608,0.10074893009985735,,
frozen,outlet,irish_examiner,(all),5608,0.0884450784593438,,
frozen,outlet,rte,(all),5608,0.08523537803138374,,
frozen,outlet,the_liberal,(all),5608,0.01783166904422254,,
frozen,band,(all),0-150,4344,0.017495395948434623,,
frozen,band,(all),150-300,5304,0.07088989441930618,,
frozen,band,(all),300-600,6962,0.0950876185004309,,
frozen,band,(all),600-inf,5822,0.09017519752662316,,
frozen,outlet_band,gript,0-150,134,0.03731343283582089,,
frozen,outlet_band,gript,150-300,813,0.11193111931119311,,
frozen,outlet_band,gript,300-600,2030,0.10788177339901478,,
frozen,outlet_band,gript,600-inf,2631,0.09502090459901179,,
frozen,outlet_band,irish_examiner,0-150,334,0.017964071856287425,,
frozen,outlet_band,irish_examiner,150-300,972,0.11522633744855967,,
frozen,outlet_band,irish_examiner,300-600,2507,0.09094535301156761,,
frozen,outlet_band,irish_examiner,600-inf,1795,0.08356545961002786,,
frozen,outlet_band,rte,0-150,649,0.02773497688751926,,
frozen,outlet_band,rte,150-300,1522,0.08804204993429698,,
frozen,outlet_band,rte,300-600,2088,0.09961685823754789,,
frozen,outlet_band,rte,600-inf,1349,0.08747220163083766,,
frozen,outlet_band,the_liberal,0-150,3227,0.01456461109389526,,
frozen,outlet_band,the_liberal,150-300,1997,0.019529293940911366,,
frozen,outlet_band,the_liberal,300-600,337,0.020771513353115726,,
frozen,outlet_band,the_liberal,600-inf,47,0.14893617021276595,,
frozen,outlet_threshold,gript,(all),5608,0.050106990014265336,0.6763333678245544,0.10074893009985735
frozen,outlet_threshold,irish_examiner,(all),5608,0.050106990014265336,0.6610729098320007,0.0884450784593438
frozen,outlet_threshold,rte,(all),5608,0.050106990014265336,0.6272470355033875,0.08523537803138374
frozen,outlet_threshold,the_liberal,(all),5608,0.050106990014265336,0.23244889080524445,0.01783166904422254
