outlet,period,view,n,detected,ensemble_fpr,ensemble_tpr,lower_bound
gript,post,all,5608,0.03138373751783167,0.028406102051551814,0.7858432062199185,0.003789096148839851
gript,post,non_wire,5608,0.03138373751783167,0.028406102051551814,0.7858432062199185,0.003789096148839851
gript,post,len_0-150,91,0.14285714285714285,0.028406102051551814,0.7858432062199185,0.14564106414576786
gript,post,len_150-300,471,0.04883227176220807,0.028406102051551814,0.7858432062199185,0.02599267837271343
gript,post,len_300-600,1703,0.04756312389900176,0.028406102051551814,0.7858432062199185,0.024377664266641057
gript,post,len_600-inf,3343,0.01764881842656297,0.028406102051551814,0.7858432062199185,0.0
gript,pre,all,5608,0.02710413694721826,0.028406102051551814,0.7858432062199185,0.0
gript,pre,non_wire,5608,0.02710413694721826,0.028406102051551814,0.7858432062199185,0.0
gript,pre,len_0-150,134,0.05970149253731343,0.028406102051551814,0.7858432062199185,0.039823962640460356
gript,pre,len_150-300,813,0.03936039360393604,0.028406102051551814,0.7858432062199185,0.013939538403693552
gript,pre,len_300-600,2030,0.026108374384236452,0.028406102051551814,0.7858432062199185,0.0
gript,pre,len_600-inf,2631,0.02242493348536678,0.028406102051551814,0.7858432062199185,0.0
irish_examiner,post,all,5608,0.014800285306704708,0.03963873557451079,0.7748056275453535,0.0
irish_examiner,post,non_wire,4357,0.015377553362405325,0.03963873557451079,0.7748056275453535,0.0
irish_examiner,post,len_0-150,144,0.10416666666666667,0.03963873557451079,0.7748056275453535,0.08328273414402725
irish_examiner,post,len_150-300,641,0.031201248049921998,0.03963873557451079,0.7748056275453535,0.0
irish_examiner,post,len_300-600,2462,0.00974817221770918,0.03963873557451079,0.7748056275453535,0.0
irish_examiner,post,len_600-inf,2361,0.010165184243964422,0.03963873557451079,0.7748056275453535,0.0
irish_examiner,pre,all,5608,0.039229671897289584,0.03963873557451079,0.7748056275453535,0.0
irish_examiner,pre,non_wire,4907,0.03933156714897086,0.03963873557451079,0.7748056275453535,0.0
irish_examiner,pre,len_0-150,334,0.17664670658682635,0.03963873557451079,0.7748056275453535,0.1768288279556872
irish_examiner,pre,len_150-300,972,0.07510288065843622,0.03963873557451079,0.7748056275453535,0.04577166688409155
irish_examiner,pre,len_300-600,2507,0.028320702034303948,0.03963873557451079,0.7748056275453535,0.0
irish_examiner,pre,len_600-inf,1795,0.00947075208913649,0.03963873557451079,0.7748056275453535,0.0
rte,post,all,5608,0.026569186875891583,0.035676810073452254,0.7521751203258052,0.0
rte,post,non_wire,3677,0.03453902638020125,0.035676810073452254,0.7521751203258052,0.0
rte,post,len_0-150,576,0.10416666666666667,0.035676810073452254,0.7521751203258052,0.09105573255806171
rte,post,len_150-300,1239,0.04519774011299435,0.035676810073452254,0.7521751203258052,0.01265786355100139
rte,post,len_300-600,2097,0.010014306151645207,0.035676810073452254,0.7521751203258052,0.0
rte,post,len_600-inf,1696,0.007075471698113208,0.035676810073452254,0.7521751203258052,0.0
rte,pre,all,5608,0.0344151212553495,0.035676810073452254,0.7521751203258052,0.0
rte,pre,non_wire,3693,0.04494990522610344,0.035676810073452254,0.7521751203258052,0.012328372611732407
rte,pre,len_0-150,649,0.10631741140215717,0.035676810073452254,0.7521751203258052,0.09391509958227133
rte,pre,len_150-300,1522,0.04533508541392904,0.035676810073452254,0.7521751203258052,0.012840461056852421
rte,pre,len_300-600,2088,0.022509578544061302,0.035676810073452254,0.7521751203258052,0.0
rte,pre,len_600-inf,1349,0.005930318754633061,0.035676810073452254,0.7521751203258052,0.0
the_liberal,post,all,5608,0.019436519258202566,0.03905858788182273,0.717812847093669,0.0
the_liberal,post,non_wire,5530,0.019710669077757686,0.03905858788182273,0.717812847093669,0.0
the_liberal,post,len_0-150,1539,0.04743339831059129,0.03905858788182273,0.717812847093669,0.01166712251344773
the_liberal,post,len_150-300,1814,0.008269018743109152,0.03905858788182273,0.717812847093669,0.0
the_liberal,post,len_300-600,1642,0.007308160779537149,0.03905858788182273,0.717812847093669,0.0
the_liberal,post,len_600-inf,613,0.01468189233278956,0.03905858788182273,0.717812847093669,0.0
the_liberal,pre,all,5608,0.02942225392296719,0.03905858788182273,0.717812847093669,0.0
the_liberal,pre,non_wire,5587,0.029532844102380527,0.03905858788182273,0.717812847093669,0.0
the_liberal,pre,len_0-150,3227,0.050821196157421755,0.03905858788182273,0.717812847093669,0.016386734123280598
the_liberal,pre,len_150-300,1997,0.000500751126690035,0.03905858788182273,0.717812847093669,0.0
the_liberal,pre,len_300-600,337,0.0,0.03905858788182273,0.717812847093669,0.0
the_liberal,pre,len_600-inf,47,0.0,0.03905858788182273,0.717812847093669,0.0
